,C,JPM,USB,WFC,BAC,MS
20140625 20:10:55,42.84,46.77,57.42,52.07,15.61,32.06
20140625 20:10:56,42.84,46.77,57.42,52.07,15.63,32.07
20140625 20:10:57,42.84,46.77,57.42,52.06,15.63,32.06
20140625 20:10:58,42.84,46.77,57.42,52.06,15.63,32.06
20140625 20:10:59,42.87,46.77,57.42,52.11,15.63,32.06
20140625 20:11:00,42.87,46.77,57.41,52.06,15.61,32.06
20140625 20:11:01,42.87,46.77,57.41,52.06,15.61,32.05
20140625 20:11:02,42.87,46.77,57.41,52.06,15.61,32.05
20140625 20:11:03,42.87,46.75,57.41,52.05,15.61,32.05
20140625 20:11:04,42.87,46.76,57.41,52.05,15.61,32.04
20140625 20:11:05,42.87,46.75,57.41,52.06,15.61,32.04
20140625 20:11:06,42.87,46.77,57.41,52.06,15.61,32.05
20140625 20:11:07,42.87,46.77,57.41,52.06,15.61,32.05
20140625 20:11:08,42.88,46.75,57.41,52.05,15.61,32.06
20140625 20:11:09,42.88,46.75,57.42,52.05,15.61,32.06
20140625 20:11:10,42.88,46.75,57.42,52.06,15.61,32.06
20140625 20:11:11,42.88,46.73,57.42,52.05,15.61,32.07
20140625 20:11:12,42.88,46.73,57.42,52.05,15.61,32.07
20140625 20:11:13,42.88,46.73,57.42,52.05,15.61,32.07
20140625 20:11:14,42.88,46.73,57.42,52.05,15.61,32.06
20140625 20:11:15,42.88,46.75,57.42,52.05,15.63,32.06
20140625 20:11:16,42.88,46.75,57.42,52.05,15.63,32.06
20140625 20:11:17,42.88,46.75,57.42,52.05,15.63,32.06
20140625 20:11:18,42.88,46.73,57.42,52.05,15.63,32.05
20140625 20:11:19,42.88,46.74,57.41,52.05,15.64,32.05
20140625 20:11:20,42.88,46.74,57.41,52.05,15.64,32.06
20140625 20:11:21,42.88,46.75,57.41,52.05,15.64,32.06
20140625 20:11:22,42.88,46.74,57.39,52.05,15.64,32.06
20140625 20:11:23,42.88,46.74,57.39,52.0,15.63,32.06
20140625 20:11:24,42.88,46.75,57.39,52.0,15.63,32.06
20140625 20:11:25,42.88,46.73,57.39,52.0,15.63,32.06
20140625 20:11:26,42.88,46.74,57.39,52.0,15.63,32.06
20140625 20:11:27,42.88,46.73,57.39,52.05,15.63,32.06
20140625 20:11:28,42.92,46.74,57.38,52.05,15.63,32.06
20140625 20:11:29,42.92,46.74,57.38,52.05,15.63,32.06
